D,PDR_REPORT,TABLE,1,BILLING,IRPARTSURPLUSSUM,7,BILLINGIRPARTSURPLUSSUM,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,NMAS_TST_PAYMENTS,1,BILLING_NMAS_TST_PAYMENTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,NMAS_TST_RECOVERY,1,BILLING_NMAS_TST_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,NMAS_TST_RECOVERY,2,BILLING_NMAS_TST_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,NMAS_TST_RECVRY_RBF,1,BILLING_NMAS_TST_RECVRY_RBF,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,NMAS_TST_RECVRY_TRK,1,BILLING_NMAS_TST_RECVRY_TRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,PRIORADJUSTMENTS,5,BILLINGPRIORADJUSTMENTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,REALLOC,5,BILLINGREALLOC,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,REALLOC_DETAIL,5,BILLINGREALLOC_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,REGIONEXPORTS,5,BILLINGREGIONEXPORTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,REGIONFIGURES,6,BILLINGREGIONFIGURES,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,REGIONIMPORTS,5,BILLINGREGIONIMPORTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,RESERVETRADERPAYMENT,1,BILLRESERVETRADERPAYMENT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,RESERVETRADERRECOVERY,3,BILLRESERVETRADERRECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,RESERVETRADERRECOVERY,2,BILLRESERVETRADERRECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,RUNTRK,5,BILLINGRUNTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,SECDEPOSIT_APPLICATION,1,BILLING_SECDEPOSIT_APPLICATION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,SECDEP_INTEREST_PAY,1,BILLING_SECDEP_INTEREST_PAY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,SECDEP_INTEREST_RATE,1,BILLING_SECDEP_INTEREST_RATE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,SUBST_DEMAND,1,BILLING_SUBST_DEMAND,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,SUBST_RUN_VERSION,1,BILLING_SUBST_RUN_VERSION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,WDR,1,BILLING_WDR,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,WDR_DETAIL,1,BILLING_WDR_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,BILLINGCALENDAR,2,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,BILLINGCALENDAR,1,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,GST_BAS_CLASS,1,GST_BAS_CLASS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,GST_RATE,1,GST_RATE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,GST_TRANSACTION_CLASS,1,GST_TRANSACTION_CLASS,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,GST_TRANSACTION_TYPE,1,GST_TRANSACTION_TYPE,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,SECDEPOSIT_INTEREST_RATE,1,SECDEPOSIT_INTEREST_RATE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING_CONFIG,SECDEPOSIT_PROVISION,1,SECDEPOSIT_PROVISION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_CLUSTER_AVAIL,2,INTERMITTENT_CLUSTER_AVAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_CLUSTER_AVAIL,1,INTERMITTENT_CLUSTER_AVAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_CLUSTER_AVAIL_DAY,1,INTERMITTENT_CLUSTER_AVAIL_DAY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_DS_PRED,1,INTERMITTENT_DS_PRED,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_DS_RUN,1,INTERMITTENT_DS_RUN,INSERT-UPDATE,NONE,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_GEN_LIMIT,1,INTERMITTENT_GEN_LIMIT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_GEN_LIMIT_DAY,1,INTERMITTENT_GEN_LIMIT_DAY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,INTERMITTENT_GEN_SCADA,1,INTERMITTENT_GEN_SCADA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,MTPASA_INTERMITTENT_AVAIL,1,MTPASA_INTERMITTENT_AVAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,MTPASA_INTERMITTENT_AVAIL,2,MTPASA_INTERMITTENT_AVAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,MTPASA_INTERMITTENT_LIMIT,1,MTPASA_INTERMITTENT_LIMIT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DEMAND,PERIOD,1,PERDEMAND,INSERT,,1,0
